date,mean_precipitation,temperature_2m_max,temperature_2m_min,surface_net_solar_radiation_sum,temperature_2m_mean,cumulative_precipitation
2023-03-24,4.83546250325162,23.904153442382835,19.114343261718773,8036658.0,294.6592483520508,0.0
2023-03-25,10.826125775167839,21.247964477539085,11.498773193359398,17662324.0,289.5233688354492,0.0
2023-03-26,0.000852346317969932,24.405297851562523,7.943505859375023,19449618.0,289.32440185546875,0.0
2023-03-27,0.0,22.60749206542971,9.28656921386721,19629164.0,289.09703063964844,0.0
2023-03-28,0.7383227348327637,15.696267700195335,7.920800781250023,18955078.0,284.95853424072266,0.0
2023-03-29,0.000852346317969932,16.45881042480471,4.292779541015648,20292420.0,283.52579498291016,0.0
2023-03-30,0.0,20.93341979980471,7.362786865234398,15821768.0,287.29810333251953,0.0
2023-03-31,7.198095321655273,23.293191528320335,15.23780212402346,8152388.0,292.4154968261719,0.0
2023-04-01,2.834583795298329,20.42847595214846,15.207849121093773,20396104.0,290.9681625366211,0.0
2023-04-02,0.0025710543063439673,21.835488891601585,6.181665039062523,20443970.0,287.15857696533203,0.0
2023-04-03,23.84867219342368,23.29352722167971,12.411828613281273,12841006.0,291.00267791748047,0.0
2023-04-04,0.40659308433532715,27.898461914062523,19.362786865234398,11432280.0,296.78062438964844,0.0
2023-04-05,7.341787219047546,26.19635925292971,21.507592773437523,7387364.0,297.0019760131836,0.0
2023-04-06,30.202421545880043,20.779397583007835,8.76093444824221,5737698.0,287.920166015625,0.0
2023-04-07,0.05970204739469409,16.36560974121096,9.571588134765648,12827832.0,286.1185989379883,0.0
2023-04-08,0.1677554568573214,17.637307739257835,10.293634033203148,13236396.0,287.11547088623047,0.0
2023-04-09,0.14102458942488738,18.099267578125023,12.19770202636721,10134168.0,288.2984848022461,0.0
2023-04-10,0.016021728413306846,21.113946533203148,10.478601074218773,15639694.0,288.94627380371094,0.0
2023-04-11,0.003004073732881807,22.54895935058596,7.835351562500023,21537668.0,288.34215545654297,0.0
2023-04-12,-1.1921656550839543e-05,23.863244628906273,8.473748779296898,21617992.0,289.31849670410156,0.0
2023-04-13,0.20922720432281494,22.391046142578148,10.397637939453148,13820548.0,289.5443420410156,0.0
2023-04-14,0.20166039456626095,21.469903564453148,15.02985534667971,11746172.0,291.3998794555664,0.0
2023-04-15,0.9726086226464759,25.775689697265648,14.70234069824221,11968390.0,293.3890151977539,0.0
2023-04-16,8.465476933224636,23.62030944824221,9.979730224609398,20837448.0,289.9500198364258,0.0
2023-04-17,0.0017131263234659855,21.262475585937523,9.267419433593773,22644248.0,288.4149475097656,0.0
2023-04-18,0.0017224063526555256,24.487359619140648,11.11322937011721,21851636.0,290.9502944946289,0.0
2023-04-19,0.0025781586714401783,26.18360290527346,14.00983581542971,21531396.0,293.24671936035156,0.0
2023-04-20,0.0,25.962731933593773,16.626702880859398,19589134.0,294.44471740722656,0.0
2023-04-21,58.41466784477234,23.93122253417971,12.234246826171898,4446876.0,291.2327346801758,0.0
2023-04-22,0.03412365913391113,19.107720947265648,6.861306762695335,21509304.0,286.13451385498047,0.0
2023-04-23,0.2570003271102905,16.86817321777346,7.607293701171898,19127060.0,285.38773345947266,0.0
2023-04-24,0.001704692635939864,16.982263183593773,5.500146484375023,22790260.0,284.3912048339844,0.0
2023-04-25,0.26995097329063356,18.37214050292971,8.489373779296898,18716198.0,286.5807571411133,0.0
2023-04-26,0.9007155895233154,20.697793579101585,10.178445434570335,16531886.0,288.58811950683594,0.0
2023-04-27,7.509797811508179,19.850137329101585,13.148217773437523,6225142.0,289.64917755126953,0.0
2023-04-28,4.139247536556923,18.89942321777346,12.725762939453148,11080480.0,288.9625930786133,0.0
2023-04-29,7.2423726314809755,19.303750610351585,12.765176391601585,8512764.0,289.18446350097656,0.0
2023-04-30,0.10614693161414834,19.033197021484398,11.11640319824221,18965378.0,288.2248001098633,0.0
2023-05-01,0.0008604752679275407,18.69379577636721,9.56220397949221,23490098.0,287.2779998779297,0.0
2023-05-02,0.0004351138613856165,19.536538696289085,8.465234375000023,23475356.0,287.15088653564453,0.0
2023-05-03,0.0,20.93555603027346,8.823297119140648,23749024.0,288.02942657470703,0.0
2023-05-04,0.0008583068797918258,24.24219665527346,7.969628906250023,20437928.0,289.2559127807617,0.0
2023-05-05,7.634433855628231,22.17438659667971,13.88324890136721,8686328.0,291.17881774902344,0.0
