id_image,date_image,ndvi_value,evi_value,date_image_dt
20220818T163839_20220818T164708_T15SYV,2022-08-18,0.8507430313905225,2.9741366368348725,2022-08-18
20220828T163839_20220828T165318_T15SYV,2022-08-28,0.737658495794065,2.9465491192411206,2022-08-28
20220907T163839_20220907T164907_T15SYV,2022-09-07,0.8168778672290291,2.951062758278546,2022-09-07
20220912T163911_20220912T164408_T15SYV,2022-09-12,0.8177334561514371,2.9429419158527135,2022-09-12
20220917T163839_20220917T165015_T15SYV,2022-09-17,0.7038661951611223,2.9379885155295855,2022-09-17
20220922T164011_20220922T165150_T15SYV,2022-09-22,0.5194328794584571,2.881005460512502,2022-09-22
20220927T164039_20220927T165043_T15SYV,2022-09-27,0.3376670217945378,2.860445025011281,2022-09-27
20221002T164131_20221002T164726_T15SYV,2022-10-02,0.2602070588488722,2.7679739084246826,2022-10-02
20221007T164149_20221007T165305_T15SYV,2022-10-07,0.2185754976590747,2.7464494502429577,2022-10-07
20221012T164221_20221012T165230_T15SYV,2022-10-12,0.19556487382898038,2.715148982469772,2022-10-12
20221017T164259_20221017T164640_T15SYV,2022-10-17,0.23344978746224593,2.767456126387465,2022-10-17
20221027T164359_20221027T164836_T15SYV,2022-10-27,0.2046776221521765,2.758452736636449,2022-10-27
20221106T164459_20221106T165111_T15SYV,2022-11-06,0.2625769930795491,2.8045174487691025,2022-11-06
20221116T164549_20221116T164550_T15SYV,2022-11-16,0.30976582097165484,2.8432486529108933,2022-11-16
20221121T164611_20221121T164921_T15SYV,2022-11-21,0.2822875558627134,2.8012055276285115,2022-11-21
20221201T164651_20221201T165116_T15SYV,2022-12-01,0.3485269278894632,2.8054196555080306,2022-12-01
20230105T164659_20230105T164700_T15SYV,2023-01-05,0.3496862137648559,2.8501032667810873,2023-01-05
20230110T164651_20230110T164811_T15SYV,2023-01-10,0.3230353984201182,2.8221669471446154,2023-01-10
20230115T164629_20230115T164631_T15SYV,2023-01-15,0.37233942771552825,2.854110254127392,2023-01-15
20230120T164611_20230120T164959_T15SYV,2023-01-20,0.3849980894793047,2.838024248064536,2023-01-20
20230209T164431_20230209T165046_T15SYV,2023-02-09,0.191889678533602,2.81598697103953,2023-02-09
20230326T163839_20230326T164123_T15SYV,2023-03-26,0.521367691272529,2.882378432444424,2023-03-26
20230410T163841_20230410T164312_T15SYV,2023-04-10,0.4384870999481305,2.849438432288828,2023-04-10
20230430T163901_20230430T165155_T15SYV,2023-04-30,0.32765060209907443,2.830113717340274,2023-04-30
20230515T163839_20230515T164715_T15SYV,2023-05-15,0.26669814239263845,2.785891594223309,2023-05-15
20230520T163841_20230520T164330_T15SYV,2023-05-20,0.1891537792603084,2.8081805056070452,2023-05-20
20230525T163839_20230525T164730_T15SYV,2023-05-25,0.3679618563880997,2.8555395403867707,2023-05-25
20230530T163841_20230530T164335_T15SYV,2023-05-30,0.36401486940771227,2.832612952531663,2023-05-30
20230609T163841_20230609T164114_T15SYV,2023-06-09,0.5370792109876598,2.878234710731979,2023-06-09
20230624T163839_20230624T164802_T15SYV,2023-06-24,0.8244912509904587,2.992223681781409,2023-06-24
20230629T163841_20230629T165204_T15SYV,2023-06-29,0.7963859458160889,2.9659479642261877,2023-06-29
20230704T163839_20230704T164807_T15SYV,2023-07-04,0.7139783493971174,2.9850224762965354,2023-07-04
20230724T163839_20230724T164815_T15SYV,2023-07-24,0.804477460091981,2.980330478352165,2023-07-24
20230729T163841_20230729T164322_T15SYV,2023-07-29,0.7702393351875491,2.945464273765936,2023-07-29
20230818T163841_20230818T164445_T15SYV,2023-08-18,0.577535815109074,2.8743506160404237,2023-08-18
20230828T163841_20230828T164529_T15SYV,2023-08-28,0.4317858680077098,2.832199387496172,2023-08-28
20230907T163901_20230907T165121_T15SYV,2023-09-07,0.2669274494133122,2.762379942030111,2023-09-07
20230917T163931_20230917T164946_T15SYV,2023-09-17,0.23111425640300765,2.7412229898854097,2023-09-17
